Title,Link,Author Keywords,Index Keywords
"Robust optimization to secure urban bulk water supply against extreme drought and uncertain climate change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930374224&doi=10.1016%2fj.envsoft.2015.02.021&partnerID=40&md5=6c2af552dc34c238bf712cd1cc568438","Climate change; Deep uncertainty; Multi-objective evolutionary algorithms; Robust optimization; Urban water resource management","Climate models; Costs; Decision making; Drought; Economic and social effects; Electric load dispatching; Evolutionary algorithms; Intelligent systems; Investments; Mobile security; Monte Carlo methods; Multiobjective optimization; Optimization; Stochastic models; Stochastic systems; Urban growth; Water management; Water resources; Water supply; Water supply systems; Waterworks; Deep uncertainties; Degree of uncertainty; Infrastructure investment; Multi objective evolutionary algorithms; Operating strategy; Robust optimization; Robustness measures; Urban water resources; Climate change; algorithm; climate change; cost analysis; decision making; drought; extreme event; investment; multiobjective programming; optimization; stochasticity; streamflow; uncertainty analysis; urban area; water resource; water supply"
"'Mafias' in the waterscape: Urban informality and everyday public authority in Bangalore","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896852078&partnerID=40&md5=ea071b147a03e3984c3b48cacfd0371a","India; Informal sovereigns; Municipal water politics; Post-colonial cities; State formation; Urban periphery","governance approach; groundwater resource; informal settlement; infrastructural development; neoliberalism; peripheral region; periurban area; political economy; post-colonialism; urban economy; urban politics; urban system; urbanization; water economics; water supply; Bangalore; India; Karnataka"
"Water-sensitive urban design: Opportunities for the UK","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887166866&doi=10.1680%2fmuen.12.00046&partnerID=40&md5=2bce5febfcda107917b5869f93d6fc6e","Buildings; Sewers & drains; Structures & design; Water supply","Ecosystem services; Integrated water management; International experiences; Planning and design; Urban design; Urban development; Urban water systems; Buildings; Water supply; Urban growth; building; ecosystem service; integrated approach; land use; urban design; urban development; urban planning; water management; water supply; United Kingdom"
"Editorial Perspectives: 2019 novel coronavirus (SARS-CoV-2): What is its fate in urban water cycle and how can the water research community respond?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084810282&doi=10.1039%2fd0ew90015j&partnerID=40&md5=2b45f4f4090d92e1c23158f2b88bcf7b",,"COVID-19; hydrological cycle; research; urban area; viral disease; water management; Coronavirus; SARS coronavirus"
"Microplastic pollution in surface sediments of urban water areas in Changsha, China: Abundance, composition, surface textures","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053902682&doi=10.1016%2fj.marpolbul.2018.09.043&partnerID=40&md5=7c20b140af46a011d031ded117d70c1a","Changsha; China; Microplastic; Surface sediment; Urban water areas","Marine pollution; Surficial sediments; Changsha; China; Microplastic; Surface sediments; Urban waters; Lake pollution; plastic; polyamide; polyethylene; polyethylene terephthalate; polypropylene; polystyrene; polyvinylchloride; surface water; plastic; chemical composition; lacustrine deposit; marine environment; plastic waste; Raman spectroscopy; sediment pollution; texture; urban area; aquatic environment; Article; China; controlled study; estuary; foam; freshwater environment; lake; lake sediment; marine environment; microplastic pollution; morphological trait; Raman spectrometry; river; scanning electron microscopy; sediment; urban area; waste water management; waste water treatment plant; water contamination; water flow; water quality; analysis; city; environmental monitoring; procedures; sediment; water pollutant; Changsha; China; Hunan; China; Cities; Environmental Monitoring; Geologic Sediments; Lakes; Plastics; Rivers; Water Pollutants, Chemical"
"Water quality monitoring in smart city: A pilot project","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042076643&doi=10.1016%2fj.autcon.2018.02.008&partnerID=40&md5=e4ef3fa3b2e03709f338482fd44ba05e","High-frequency; Internet of Things; Real-time; Smart city; Water quality monitoring","Big data; Information management; Internet of things; Smart city; Sustainable development; Urban growth; Water management; Water quality; Wireless sensor networks; Environment monitoring system; High frequency HF; Information and Communication Technologies; Internet of Things (IOT); Real time; Urban water management; Water quality monitoring; Water quality monitoring systems; Monitoring"
"Smart meter enabled disaggregation of urban peak water demand: Precursor to effective urban water planning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879128377&doi=10.1080%2f1573062X.2012.716446&partnerID=40&md5=2475d8f0c63ba407e6e6928b77df6abc","consumption disaggregation; hourly consumption profile; irrigation; peak demand; water demand management; water tariffs","demand analysis; distribution system; irrigation; tariff structure; urban planning; water demand; water planning; water use; Australia; Hervey Bay; Queensland"
"Urban water sector performance in Africa: A step-wise bias-corrected efficiency and effectiveness analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862135033&doi=10.1016%2fj.jup.2012.02.004&partnerID=40&md5=0a0d8563da169bd49653c6fcc933f8d4","Africa; Benchmarking; Double bootstrap; Effectiveness; Efficiency; Urban water supply","benchmarking; bootstrapping; drinking water; performance assessment; technical efficiency; urban area; water industry; water supply; Africa"
"Assessment of stormwater runoff management practices and governance under climate change and urbanization: An analysis of Bangkok, Hanoi and Tokyo","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978062501&doi=10.1016%2fj.envsci.2016.06.018&partnerID=40&md5=2246fcbe98fdbbcee0bc70cdb7f05fa2","Climate change adaptation; Stormwater capture measure; Stormwater governance; Stormwater management; Urban water security; Water infrastructure","storm water; catchment; climate change; ecosystem resilience; environmental planning; filtration; harvesting; Japan; pond; priority journal; Review; runoff; Thailand; urbanization; Viet Nam; waste water recycling; water cycle; water supply"
"Assessment of the hydrological impacts of green roof: From building scale to basin scale","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924940640&doi=10.1016%2fj.jhydrol.2015.03.020&partnerID=40&md5=9ea30fa472d41e91a5f0c7feacb6f793","Flooding; Green roof; Hydrological modelling; Sewage network; SWMM","Floods; Oil well flooding; Rain; Runoff; Sewage; Water management; Complementary analysis; Green roof; Hydrological modelling; Hydrometeorological variables; Rainfall-runoff modeling; Storm-water managements; SWMM; Urban water management; Roofs; assessment method; flooding; greenspace; hydrological response; hydrometeorology; peak discharge; rainfall-runoff modeling; roof; sewer network; urban planning; water management; Chatillon; France; Hauts de Seine; Ile de France"
"Exploring critical pathways for urban water management to identify robust strategies under deep uncertainties","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907663311&doi=10.1016%2fj.watres.2014.08.020&partnerID=40&md5=ec202672d43104f76556018743852145","Deep uncertainties; Integrated modelling; Robust decision making; Strategic planning; Urban drainage; Urban water management","Climate change; Decision making; Population statistics; Strategic planning; Uncertainty analysis; Water management; Deep uncertainties; Integrated modelling; Robust decisions; Urban drainage; Urban water management; Urban growth; water; water; water pollutant; adaptive management; decision making; integrated approach; numerical model; strategic approach; uncertainty analysis; urban area; water management; water planning; adaptation; analytic method; Article; Austria; climate change; clinical pathway; controlled study; decision making; dynamics; environmental impact; strategic planning; uncertainty; urban area; water analysis; water management; water pollution indicator; water supply; analysis; calibration; city; city planning; computer program; environmental protection; geography; procedures; water management; water pollutant; water supply; Austria; Innsbruck; Tyrol; Austria; Calibration; Cities; City Planning; Climate Change; Conservation of Natural Resources; Decision Making; Geography; Software; Water; Water Pollutants, Chemical; Water Purification; Water Supply"
